[12:24:37] Id:  1, MsgId:     0, xSensAcc1: -0.596012, xSensAcc2: 1.358322, xSensYaw: 0.119314, rateOfTurn: 0.773475, wheelSp1: %&7f, wheelSp2: 18.407764, wheelSp3: 3.936246, wheelSp4: 15.166134

[12:24:37] Id:  1, MsgId:     0, xSensAcc1: 5.938101, xSensAcc2: -2.070132, xSensYaw: 0.253262, rateOfTurn: 2.809579, wheelSp1: %&7f, wheelSp2: 27.727417, wheelSp3: 7.004210, wheelSp4: 23.964827

[12:24:37] Id:  1, MsgId:     0, xSensAcc1: -1.780980, xSensAcc2: 2.920825, xSensYaw: 0.345276, rateOfTurn: 4.340883, wheelSp1: %&7f, wheelSp2: 30.448067, wheelSp3: 12.213958, wheelSp4: 26.048708

[12:24:37] Id:  1, MsgId:     0, xSensAcc1: -1.780980, xSensAcc2: 2.920825, xSensYaw: 0.345276, rateOfTurn: 4.340883, wheelSp1: %&7f, wheelSp2: 30.448067, wheelSp3: 12.213958, wheelSp4: 26.048708

[12:24:37] Id:  1, MsgId:     0, xSensAcc1: -1.780980, xSensAcc2: 2.920825, xSensYaw: 0.345276, rateOfTurn: 4.340883, wheelSp1: %&7f, wheelSp2: 30.448067, wheelSp3: 12.213958, wheelSp4: 26.048708

[12:24:37] Id:  1, MsgId:     0, xSensAcc1: -1.780980, xSensAcc2: 2.920825, xSensYaw: 0.345276, rateOfTurn: 4.340883, wheelSp1: %&7f, wheelSp2: 30.448067, wheelSp3: 12.213958, wheelSp4: 26.048708

[12:24:37] Id:  1, MsgId:     0, xSensAcc1: -1.780980, xSensAcc2: 2.920825, xSensYaw: 0.345276, rateOfTurn: 4.340883, wheelSp1: %&7f, wheelSp2: 30.448067, wheelSp3: 12.213958, wheelSp4: 26.048708

[12:24:37] Id:  1, MsgId:     0, xSensAcc1: -1.780980, xSensAcc2: 2.920825, xSensYaw: 0.345276, rateOfTurn: 4.340883, wheelSp1: %&7f, wheelSp2: 30.448067, wheelSp3: 12.213958, wheelSp4: 26.048708

[12:24:37] Id:  1, MsgId:     0, xSensAcc1: 7.139740, xSensAcc2: 2.528110, xSensYaw: 2.469087, rateOfTurn: 16.684912, wheelSp1: %&7f, wheelSp2: 47.524448, wheelSp3: 43.530308, wheelSp4: 45.787857

[12:24:37] Id:  1, MsgId:     0, xSensAcc1: -7.753784, xSensAcc2: 2.708763, xSensYaw: 2.629647, rateOfTurn: 16.618694, wheelSp1: %&7f, wheelSp2: 47.698116, wheelSp3: 43.414543, wheelSp4: 43.067230

[12:24:37] Id:  1, MsgId:     0, xSensAcc1: -2.661219, xSensAcc2: -7.859536, xSensYaw: 2.936844, rateOfTurn: 16.257830, wheelSp1: %&7f, wheelSp2: 41.446404, wheelSp3: 42.083149, wheelSp4: 42.951443

[12:24:37] Id:  1, MsgId:     0, xSensAcc1: 5.352020, xSensAcc2: 1.037947, xSensYaw: -3.062689, rateOfTurn: 15.479128, wheelSp1: %&7f, wheelSp2: 36.063011, wheelSp3: 39.767719, wheelSp4: 39.130974

[12:24:37] Id:  1, MsgId:     0, xSensAcc1: -4.213478, xSensAcc2: -1.226726, xSensYaw: -2.933166, rateOfTurn: 14.921802, wheelSp1: %&7f, wheelSp2: 35.599934, wheelSp3: 37.683815, wheelSp4: 38.146915

[12:24:37] Id:  1, MsgId:     0, xSensAcc1: 1.282745, xSensAcc2: 0.990380, xSensYaw: -2.470321, rateOfTurn: 10.323723, wheelSp1: %&7f, wheelSp2: 21.591492, wheelSp3: 27.032791, wheelSp4: 21.244179

[12:24:37] Id:  1, MsgId:     0, xSensAcc1: 2.117048, xSensAcc2: 4.405866, xSensYaw: -2.373767, rateOfTurn: 7.967569, wheelSp1: %&7f, wheelSp2: 14.182076, wheelSp3: 19.333942, wheelSp4: 14.355743

[12:24:37] Id:  1, MsgId:     0, xSensAcc1: 0.454241, xSensAcc2: 0.151654, xSensYaw: -2.297282, rateOfTurn: 5.879847, wheelSp1: %&7f, wheelSp2: 11.808740, wheelSp3: 14.124194, wheelSp4: 8.798681

[12:24:37] Id:  1, MsgId:     0, xSensAcc1: -0.734453, xSensAcc2: 0.195287, xSensYaw: -2.273673, rateOfTurn: 4.937395, wheelSp1: %&7f, wheelSp2: 6.483227, wheelSp3: 11.866621, wheelSp4: 3.299501

[12:24:37] Id:  1, MsgId:     0, xSensAcc1: 1.791993, xSensAcc2: -0.675360, xSensYaw: -2.277072, rateOfTurn: 1.411547, wheelSp1: %&7f, wheelSp2: -7.698860, wheelSp3: -1.389289, wheelSp4: -3.704720

