[14:31:02] Id: 10, MsgId:     0, xSensAcc1: 0.084855, xSensAcc2: -0.123272, xSensYaw: -3.128743, rateOfTurn: 0.014121, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:02] Id: 10, MsgId:     0, xSensAcc1: 0.083575, xSensAcc2: -0.131002, xSensYaw: -3.128743, rateOfTurn: 0.014238, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:02] Id: 10, MsgId:     0, xSensAcc1: 0.049185, xSensAcc2: -0.122970, xSensYaw: -3.128720, rateOfTurn: 0.014470, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:02] Id: 10, MsgId:     0, xSensAcc1: 0.066415, xSensAcc2: -0.130583, xSensYaw: -3.128720, rateOfTurn: 0.014517, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:02] Id: 10, MsgId:     0, xSensAcc1: 0.053796, xSensAcc2: -0.135077, xSensYaw: -3.128743, rateOfTurn: 0.014075, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:02] Id: 10, MsgId:     0, xSensAcc1: 0.071304, xSensAcc2: -0.134169, xSensYaw: -3.128767, rateOfTurn: 0.013609, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:03] Id: 10, MsgId:     0, xSensAcc1: 0.086718, xSensAcc2: -0.118266, xSensYaw: -3.128720, rateOfTurn: 0.014168, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:03] Id: 10, MsgId:     0, xSensAcc1: 0.077451, xSensAcc2: -0.124064, xSensYaw: -3.128720, rateOfTurn: 0.014168, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:03] Id: 10, MsgId:     0, xSensAcc1: 0.077405, xSensAcc2: -0.128069, xSensYaw: -3.128743, rateOfTurn: 0.014470, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:03] Id: 10, MsgId:     0, xSensAcc1: 0.060175, xSensAcc2: -0.123226, xSensYaw: -3.128767, rateOfTurn: 0.013772, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:03] Id: 10, MsgId:     0, xSensAcc1: 0.079570, xSensAcc2: -0.115752, xSensYaw: -3.128767, rateOfTurn: 0.013609, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:03] Id: 10, MsgId:     0, xSensAcc1: 0.091328, xSensAcc2: -0.124762, xSensYaw: -3.128790, rateOfTurn: 0.013679, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[14:31:03] Id: 10, MsgId:     0, xSensAcc1: 0.069465, xSensAcc2: -0.142201, xSensYaw: -3.128813, rateOfTurn: 0.013353, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

