[12:17:45] Id:  1, MsgId:     0, xSensAcc1: 0.105624, xSensAcc2: 0.152120, xSensYaw: -0.237452, rateOfTurn: -1.226331, wheelSp1: %&7f, wheelSp2: -2.315466, wheelSp3: -3.299525, wheelSp4: -2.778543

[12:17:45] Id:  1, MsgId:     0, xSensAcc1: -0.342180, xSensAcc2: -0.753708, xSensYaw: -0.248163, rateOfTurn: -0.939250, wheelSp1: %&7f, wheelSp2: -1.794484, wheelSp3: -1.968129, wheelSp4: -0.926189

[12:17:45] Id:  1, MsgId:     0, xSensAcc1: -0.359991, xSensAcc2: 0.102387, xSensYaw: -0.244298, rateOfTurn: -0.331469, wheelSp1: %&7f, wheelSp2: 0.057870, wheelSp3: 0.347302, wheelSp4: 0.463088

[12:17:45] Id:  1, MsgId:     0, xSensAcc1: 1.189963, xSensAcc2: -0.806397, xSensYaw: -0.232493, rateOfTurn: 0.103994, wheelSp1: %&7f, wheelSp2: 0.694615, wheelSp3: 1.331361, wheelSp4: 0.868284

[12:17:45] Id:  1, MsgId:     0, xSensAcc1: -0.691612, xSensAcc2: 0.400457, xSensYaw: -0.226626, rateOfTurn: 0.264717, wheelSp1: %&7f, wheelSp2: 2.778519, wheelSp3: 1.273479, wheelSp4: 0.868284

[12:17:45] Id:  1, MsgId:     0, xSensAcc1: -0.426557, xSensAcc2: 0.686047, xSensYaw: -0.216381, rateOfTurn: 0.454730, wheelSp1: %&7f, wheelSp2: 0.694615, wheelSp3: 1.505029, wheelSp4: 2.199656

[12:17:45] Id:  1, MsgId:     0, xSensAcc1: 1.149520, xSensAcc2: -0.782136, xSensYaw: -0.211352, rateOfTurn: 0.490423, wheelSp1: %&7f, wheelSp2: -0.115775, wheelSp3: 1.273479, wheelSp4: 2.778519

[12:17:45] Id:  1, MsgId:     0, xSensAcc1: 1.149520, xSensAcc2: -0.782136, xSensYaw: -0.211352, rateOfTurn: 0.490423, wheelSp1: %&7f, wheelSp2: -0.115775, wheelSp3: 1.273479, wheelSp4: 2.778519

