[14:24:51.921] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: -3.244693, xSensAcc2: -0.837178, xSensYaw: 0.639202, rateOfTurn: -11.294230, wheelSp1: %&7f, wheelSp2: -33.516052, wheelSp3: -32.705639, wheelSp4: -32.589874

[14:24:51.937] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 1.721608, xSensAcc2: 0.518246, xSensYaw: 0.411936, rateOfTurn: -11.324824, wheelSp1: %&7f, wheelSp2: -33.747578, wheelSp3: -32.531994, wheelSp4: -33.400265

[14:24:51.954] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: -4.214316, xSensAcc2: -2.556888, xSensYaw: 0.298221, rateOfTurn: -11.334510, wheelSp1: %&7f, wheelSp2: -33.805485, wheelSp3: -32.937191, wheelSp4: -33.342384

[14:24:51.970] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 2.069410, xSensAcc2: 1.156365, xSensYaw: 0.184507, rateOfTurn: -11.358539, wheelSp1: %&7f, wheelSp2: -33.747578, wheelSp3: -32.647758, wheelSp4: -32.531994

[14:24:51.987] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: -1.283491, xSensAcc2: 0.399479, xSensYaw: -0.042829, rateOfTurn: -11.357793, wheelSp1: %&7f, wheelSp2: -33.342384, wheelSp3: -32.937191, wheelSp4: -33.805485

[14:24:52.003] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.378687, xSensAcc2: -1.216878, xSensYaw: -0.156520, rateOfTurn: -11.368224, wheelSp1: %&7f, wheelSp2: -33.747578, wheelSp3: -32.358326, wheelSp4: -33.805485

[14:24:52.019] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: -0.704487, xSensAcc2: -0.619853, xSensYaw: -0.385370, rateOfTurn: -11.370995, wheelSp1: %&7f, wheelSp2: -33.689697, wheelSp3: -32.647758, wheelSp4: -33.689697

[14:24:52.035] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 5.552440, xSensAcc2: 2.675422, xSensYaw: -0.613264, rateOfTurn: -11.389062, wheelSp1: %&7f, wheelSp2: -34.210678, wheelSp3: -32.937191, wheelSp4: -32.879307

[14:24:52.052] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: -3.205205, xSensAcc2: -4.240603, xSensYaw: -0.726862, rateOfTurn: -11.383032, wheelSp1: %&7f, wheelSp2: -33.979130, wheelSp3: -33.110836, wheelSp4: -33.400265

[14:24:52.068] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.571983, xSensAcc2: 1.367216, xSensYaw: -0.955642, rateOfTurn: -11.390902, wheelSp1: %&7f, wheelSp2: -33.689697, wheelSp3: -32.358326, wheelSp4: -33.516052

[14:24:52.084] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.382855, xSensAcc2: 0.279618, xSensYaw: -1.070031, rateOfTurn: -11.395279, wheelSp1: %&7f, wheelSp2: -33.689697, wheelSp3: -32.647758, wheelSp4: -33.805485

[14:24:52.101] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.501180, xSensAcc2: 2.390368, xSensYaw: -1.298951, rateOfTurn: -11.423615, wheelSp1: %&7f, wheelSp2: -33.921249, wheelSp3: -32.647758, wheelSp4: -33.168739

[14:24:52.117] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: -1.517835, xSensAcc2: 0.102527, xSensYaw: -1.529127, rateOfTurn: -11.446059, wheelSp1: %&7f, wheelSp2: -33.689697, wheelSp3: -32.589874, wheelSp4: -33.342384

[14:24:52.133] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.913173, xSensAcc2: 0.772800, xSensYaw: -1.644192, rateOfTurn: -11.457328, wheelSp1: %&7f, wheelSp2: -34.152798, wheelSp3: -32.763519, wheelSp4: -34.094917

[14:24:52.150] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: -2.395327, xSensAcc2: -1.790153, xSensYaw: -1.874066, rateOfTurn: -11.474768, wheelSp1: %&7f, wheelSp2: -33.631817, wheelSp3: -32.879307, wheelSp4: -34.268562

[14:24:52.166] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 1.530035, xSensAcc2: 1.932902, xSensYaw: -2.104754, rateOfTurn: -11.491531, wheelSp1: %&7f, wheelSp2: -33.631817, wheelSp3: -33.052952, wheelSp4: -33.458172

[14:24:52.182] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: -0.693311, xSensAcc2: -4.272081, xSensYaw: -2.219214, rateOfTurn: -11.481775, wheelSp1: %&7f, wheelSp2: -33.979130, wheelSp3: -33.805485, wheelSp4: -33.863365

[14:24:52.215] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 3.873685, xSensAcc2: 7.401278, xSensYaw: -2.679520, rateOfTurn: -11.488039, wheelSp1: %&7f, wheelSp2: -33.631817, wheelSp3: -32.531994, wheelSp4: -34.268562

[14:24:52.231] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 1.003768, xSensAcc2: -6.557943, xSensYaw: -2.794981, rateOfTurn: -11.497212, wheelSp1: %&7f, wheelSp2: -34.152798, wheelSp3: -33.342384, wheelSp4: -33.689697

[14:24:52.247] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: 0.964047, xSensAcc2: 1.696369, xSensYaw: -3.024132, rateOfTurn: -11.499098, wheelSp1: %&7f, wheelSp2: -33.863365, wheelSp3: -32.821404, wheelSp4: -33.631817

[14:24:52.264] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: -0.318175, xSensAcc2: -1.577719, xSensYaw: 3.029022, rateOfTurn: -11.485245, wheelSp1: %&7f, wheelSp2: -33.400265, wheelSp3: -33.110836, wheelSp4: -33.979130

[14:24:52.313] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: -0.318175, xSensAcc2: -1.577719, xSensYaw: 3.029022, rateOfTurn: -11.485245, wheelSp1: %&7f, wheelSp2: -33.400265, wheelSp3: -33.110836, wheelSp4: -33.979130

[14:24:52.329] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: -0.318175, xSensAcc2: -1.577719, xSensYaw: 3.029022, rateOfTurn: -11.485245, wheelSp1: %&7f, wheelSp2: -33.400265, wheelSp3: -33.110836, wheelSp4: -33.979130

[14:24:52.345] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: -0.318175, xSensAcc2: -1.577719, xSensYaw: 3.029022, rateOfTurn: -11.485245, wheelSp1: %&7f, wheelSp2: -33.400265, wheelSp3: -33.110836, wheelSp4: -33.979130

[14:24:52.362] Team: YELLOWId:  7, MsgId:     0, xSensAcc1: -0.318175, xSensAcc2: -1.577719, xSensYaw: 3.029022, rateOfTurn: -11.485245, wheelSp1: %&7f, wheelSp2: -33.400265, wheelSp3: -33.110836, wheelSp4: -33.979130

